primary_label,secondary_labels,filename,duration,n_chunks
afrsil1,[],afrsil1/XC125458.ogg,11.10203125,2
afrsil1,"['houspa', 'redava', 'zebdov']",afrsil1/XC175522.ogg,47.02040625,9
afrsil1,[],afrsil1/XC177993.ogg,53.76,10
afrsil1,[],afrsil1/XC205893.ogg,105.4824375,21
afrsil1,[],afrsil1/XC207431.ogg,3.39590625,0
afrsil1,[],afrsil1/XC207432.ogg,3.50040625,0
afrsil1,[],afrsil1/XC209513.ogg,42.8669375,8
afrsil1,[],afrsil1/XC234994.ogg,34.84734375,6
afrsil1,[],afrsil1/XC317039.ogg,44.1208125,8
afrsil1,[],afrsil1/XC322742.ogg,31.921625,6
afrsil1,[],afrsil1/XC344134.ogg,30.87675,6
afrsil1,[],afrsil1/XC371226.ogg,10.00490625,2
afrsil1,[],afrsil1/XC395771.ogg,27.219,5
afrsil1,[],afrsil1/XC445331.ogg,11.99,2
afrsil1,[],afrsil1/XC597072.ogg,32.904,6
afrsil1,[],afrsil1/XC650014.ogg,25.99184375,5
akekee,[],akekee/XC174953.ogg,2.40325,0
akekee,[],akekee/XC174954.ogg,15.20325,3
akekee,"['apapan', 'warwhe1']",akekee/XC210201.ogg,76.878375,15
akekee,['apapan'],akekee/XC219961.ogg,57.99184375,11
akekee,['iiwi'],akekee/XC27306.ogg,166.9485625,33
akekee,[],akekee/XC27320.ogg,18.18121875,3
akepa1,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi']",akepa1/XC122473.ogg,140.112,28
akepa1,"['apapan', 'iiwi', 'warwhe1']",akepa1/XC122672.ogg,92.064,18
akepa1,"['apapan', 'iiwi']",akepa1/XC124794.ogg,18.096,3
akepa1,"['apapan', 'iiwi', 'warwhe1']",akepa1/XC127673.ogg,144.192,28
akepa1,"['akiapo', 'apapan', 'hawama', 'omao', 'warwhe1']",akepa1/XC147002.ogg,377.04,75
akepa1,"['apapan', 'iiwi', 'warwhe1']",akepa1/XC175511.ogg,225.9330625,45
akepa1,"['apapan', 'iiwi']",akepa1/XC175512.ogg,24.293875,4
